# v_p0  v_p1  v_p2
1639268 0 80932
2184658 0 52146
2497528 0 30852
4250370 0 -234316
2722826 0 -33574
2111894 0 82774
1501234 0 115344
2599768 0 33656
2848216 0 -62838
3815384 0 -144062
6056396 0 -436936
5804496 0 -427460
5902232 0 -432228
5959966 0 -437060
6836798 0 -562688
7691360 0 -673122
8230406 0 -649872
7853320 0 -680804
7431504 0 -529208
7594992 0 -570714
7965354 0 -410656
7823246 0 -372412
7976452 0 -363296
8050276 0 -396736
7971626 0 -379902
7741228 0 -309160
7613968 0 -137598
7687582 0 -114808
7951400 0 -134588
7586240 0 -89900
7532390 0 -69866
7266776 0 41734
7390634 0 23440
7499818 0 19920
7743976 0 -6576
7858900 0 -46750
7883006 0 -92532
7903214 0 -116592
7480104 0 -89358
7314234 0 -81526
7019274 0 -44658
6863330 0 -28586
6804220 0 -10078
6573948 0 12530
6508850 0 -750
6499116 0 -12420
6499208 0 -17638
6427844 0 -21734
6358344 0 -16296
6458372 0 -5614
6688356 0 -846
6762886 0 20800
7115190 0 -4476
7150548 0 -7528
7222884 0 10818
6986130 0 12230
7051072 0 11082
6987554 0 30694
7051460 0 27164
7192066 0 21342
7117122 0 45306
7027192 0 57708
7191454 0 20670
7088602 0 30012
6924258 0 52976
6911294 0 33868
6934438 0 20670
6726956 0 32262
6563864 0 28608
6252554 0 46924
6136034 0 53512
5929824 0 78834
5716232 0 107422
5628042 0 118658
5549216 0 117570
5464362 0 138084
5654430 0 108246
5882912 0 84650
5965190 0 77416
6008396 0 65566
6133846 0 45022
6467272 0 25714
6657270 0 5936
6581092 0 32140
6572870 0 11112
6505542 0 -4136
6438918 0 -22932
6656302 0 -45662
6600676 0 -47308
6581110 0 -60900
6900324 0 -113472
6918516 0 -120466
6848880 0 -103540
7038144 0 -132584
7101670 0 -121802
7300414 0 -137578
7243304 0 -125120
7181990 0 -92228
7309052 0 -84862
7417330 0 -70304
7553292 0 -69904
7766956 0 -56164
8034734 0 -64412
9010656 0 -156434
9656178 0 -209526
10020764 0 -255590
10548016 0 -310526
10304364 0 -291906
10106980 0 -282128
10120918 0 -295986
9734828 0 -294302
9134814 0 -280426
8650950 0 -232320
8568794 0 -212118
8614354 0 -200686
8505080 0 -185876
8638846 0 -169458
8444010 0 -128570
8093662 0 -65648
7993628 0 -46902
7626182 0 -16102
7182272 0 -25702
7051312 0 -14624
7051912 0 -26376
6769320 0 7576
6920634 0 -27974
7012542 0 -43174
7107074 0 -69752
7268082 0 -87284
7062028 0 -62244
7254248 0 -79168
7686442 0 -132902
7163624 0 -47004
4729194 0 54370
7537184 0 -163052
5926784 0 -341424
7912490 0 -575650
8792700 0 -801956
8811540 0 -741020
7853380 0 -637680
6334972 0 -494802
8694330 0 -769730
3649500 0 -157644
5959720 0 -426954
3319118 0 -103190
5739580 0 -419564
3282302 0 -115862
2456522 0 -123364
5382722 0 -534100
3615990 0 -302216
2594660 0 -63570
3602912 0 -171914
7179190 0 -225260
2683212 0 362984
2699486 0 43294
5269774 0 -378738
4756546 0 -353044
3493586 0 -3204
6820304 0 -516200
4117996 0 -191450
1744620 151946 68690
2263762 95077 39156
2565617 47381 12388
3753140 -369411 -104530
2642395 -49153 -10381
2260807 139960 49947
1690482 202635 78750
2686958 48396 7527
2727681 -103834 -34265
3557287 -244564 -87633
5252810 -736182 -255754
5004045 -715242 -243285
5127765 -735999 -263155
5170799 -742203 -263208
5799856 -947445 -328498
6445966 -1131868 -390743
7076223 -1109774 -400574
6570209 -1136534 -383673
6381881 -864085 -272772
6586169 -976603 -354157
7484662 -791983 -374744
7349656 -705206 -321623
7547038 -699360 -329632
7570954 -760238 -354903
7523518 -731439 -344987
7419451 -610601 -301788
7611260 -321816 -203013
7745367 -289648 -198570
7968745 -321622 -208124
7655534 -235658 -167282
7594316 -186367 -134057
7383239 52815 4201
7482605 19215 -10851
7586219 12461 -13615
7729216 -14395 -4081
7763829 -79781 -24506
7722001 -163222 -60098
7690311 -197022 -69000
7287682 -138942 -38015
7141567 -128464 -36300
6913880 -66184 -14503
6772108 -33621 2451
6734357 1564 19309
6550715 37519 29925
6459238 15832 23101
6412696 1914 23813
6411383 -9560 16804
6334197 -16917 13640
6273971 -7797 17040
6399876 7883 20254
6646680 12163 18859
6776054 43446 24244
7096593 -4653 2202
7129112 -10851 -942
7254442 13122 391
7024562 14238 -790
7096885 8915 -6069
7079045 38275 651
7131146 33833 1062
7256124 25349 -47
7226014 65506 13629
7171264 81800 14803
7301008 7708 -23147
7233459 16970 -26532
7134407 47228 -24386
7085544 15496 -35147
7081147 -5533 -41268
6875870 20954 -25147
6701092 16712 -24798
6402369 55389 -3727
6299211 65963 -511
6126201 113628 20866
5954509 165723 42840
5899766 180050 43188
5797120 185891 53142
5740175 224349 70078
5880438 172526 50247
6075606 129312 31594
6150435 115191 24595
6163821 97407 21296
6257357 60641 6420
6575086 20455 -14698
6736693 -16132 -30276
6722225 23041 -21582
6651958 -3628 -22411
6539896 -23014 -23145
6406499 -42886 -18395
6592746 -85113 -36920
6538463 -89032 -39914
6485164 -108759 -43611
6714429 -199861 -77672
6713677 -209341 -78770
6672175 -179680 -67398
6791881 -222750 -76488
6854748 -197300 -60208
7013443 -220241 -64175
6980688 -200041 -57669
6984450 -146173 -40621
7153185 -143913 -50057
7306154 -125782 -50261
7437778 -123552 -47606
7693867 -106743 -47947
7960810 -126194 -59881
8781894 -286604 -120844
9318513 -372076 -146460
9599512 -449939 -173933
10055736 -553277 -220745
9855800 -525118 -214424
9673429 -507056 -207131
9668992 -533024 -218737
9256504 -519330 -203272
8649553 -483768 -179192
8248338 -400508 -148158
8199384 -364988 -134409
8275553 -349137 -132375
8190921 -323052 -122404
8365013 -299328 -117801
8263275 -237100 -102654
8053301 -140298 -77923
8011317 -117444 -78501
7693413 -63187 -57008
7177268 -59468 -35910
7075938 -44086 -33923
7055564 -64015 -41083
6825055 -2885 -16101
6892126 -56052 -27727
6956626 -81712 -36840
6991491 -122989 -47238
7110670 -148665 -52685
