# r2  r3  r4  r5  r6
0.000000 0.000000 2.403811 1.133360 0.000000
3.997089 0.000000 1.341317 0.633521 0.000000
4.287473 0.000000 -1.130703 -0.585950 0.000000
0.214841 0.000000 -2.627573 -1.388107 0.000000
-3.968320 0.000000 -1.184821 -0.714872 0.000000
-3.476017 0.000000 1.609404 0.699820 0.000000
1.436159 0.000000 3.035048 1.327856 0.000000
7.374662 0.000000 2.802018 0.687936 0.000000
11.966941 0.000000 1.724402 -0.910450 0.000000
13.587353 0.000000 -0.235660 -3.143051 0.000000
11.191259 0.000000 -2.001263 -5.289309 0.000000
7.184715 0.000000 -1.686944 -6.449479 0.000000
5.529698 0.000000 0.061280 -6.798505 0.000000
6.752871 0.000000 0.919745 -7.370225 0.000000
7.893219 0.000000 0.027411 -8.552255 0.000000
6.395802 0.000000 -1.472681 -9.717357 0.000000
2.817450 0.000000 -1.884552 -10.165695 0.000000
-0.014003 0.000000 -0.821129 -9.797773 0.000000
-0.362833 0.000000 0.361068 -8.935118 0.000000
0.656222 0.000000 0.515819 -7.850846 0.000000
1.234469 0.000000 0.069864 -6.711918 0.000000
1.045504 0.000000 -0.213533 -5.920136 0.000000
0.477646 0.000000 -0.364679 -5.754023 0.000000
-0.349737 0.000000 -0.449647 -5.841899 0.000000
-1.089736 0.000000 -0.236483 -5.454308 0.000000
-1.140150 0.000000 0.189159 -4.275903 0.000000
-0.559860 0.000000 0.317091 -2.858933 0.000000
-0.246817 0.000000 -0.053281 -2.000442 0.000000
-0.756161 0.000000 -0.402617 -1.698403 0.000000
-1.455193 0.000000 -0.224128 -1.349329 0.000000
-1.404272 0.000000 0.280909 -0.657056 0.000000
-0.441757 0.000000 0.637991 0.084336 0.000000
0.845871 0.000000 0.600237 0.430883 0.000000
1.699231 0.000000 0.232481 0.296334 0.000000
1.699795 0.000000 -0.227771 -0.152955 0.000000
0.859090 0.000000 -0.598963 -0.763421 0.000000
-0.555527 0.000000 -0.793316 -1.324696 0.000000
-2.078366 0.000000 -0.688361 -1.587800 0.000000
