# r2_raw  r3_raw  r4_raw  r5_raw  r6_raw
18839388936 0 -701394114 -17722158090 0
13681209322 0 -5056254272 -19997396892 0
0 0 -7844101244 -21875883184 0
0 8757781696 8141966726 3570257528 0
13398135312 5084312637 4373940562 2234223785 -3432692384
14056424186 -3687412509 -3873541488 -772981779 -3832723380
688135479 -9311492129 -8422422618 -2556239929 -218088244
-12474363143 -4508150364 -3598397326 -937667252 3735866823
-10548448864 5433663863 5301060963 2249146446 3324090126
5375757395 9707711079 9786549766 3461033561 -1342527626
24467648063 4909267910 9005818009 1601601618 -6955755377
39249473930 -6682544172 5567938974 -2464438256 -11184899291
44417541392 -22756118222 -829530630 -7960044668 -12692847252
36449281269 -38223386041 -6580634703 -13250467273 -10673845786
23369270557 -46693420108 -5452843080 -16247226748 -7084805432
18090395473 -49386569199 292217653 -17340019943 -5387968989
22370656222 -53567588640 3253590801 -18837855621 -6062230296
26780982004 -62060547339 507843283 -21736309579 -6365104079
22578825856 -70462295831 -4573503703 -24633148019 -4173961845
11401856207 -73424192124 -5701924542 -25379920041 -284185204
4188839939 -70193528155 -950682837 -23687189326 3049496839
7471482707 -64278249527 3671858919 -21960191856 4589170221
14584350234 -58526831426 2690932671 -22052128402 4861637746
15895175372 -52858109997 -1256898320 -22639604918 4342425569
11116142018 -48479912287 -3028753869 -22454150735 2962376625
5522134102 -47545565334 -2425008418 -22391597809 1807710594
1966392929 -48206679692 -1091444502 -22651727450 2579598182
1306401351 -45407970623 489487630 -21707633124 5183077838
3278808730 -36886564713 1345506728 -18797285352 7254838230
5186274869 -26749450621 333816955 -15445552225 6839581213
3779617777 -20694305908 -1712958534 -13536421761 4946197369
-815485996 -18390006318 -2566899700 -12622023717 4076872523
-4870294871 -15089575374 -1228598341 -10661854577 4766341178
-5145878262 -8581911564 946471183 -6812322154 5278253342
-1860627966 -1618681247 2176609550 -2688072957 4043815676
2239121313 1849712083 1769483832 -451773978 1493991555
4297571853 1320625049 278524528 -151557723 -921544021
3254016582 -1578812661 -1238469741 -775927020 -2469562952
-311500143 -5771752054 -2241263589 -2012507489 -2906322118
-5277964232 -9716934844 -2623335249 -3347637959 -2058622372
-10085517584 -11368429887 -2014063083 -3799592625 -366928288
-12745010384 -10325575134 -566909546 -3198586251 1210108750
-12575953763 -7796703502 671280330 -2141270369 2125265545
-10753396197 -4856200982 1074365956 -979578876 2399037037
-8836801174 -2024400584 823893207 201380164 2170009881
-7563373601 268646508 530902377 1177648409 1519882860
-6462452931 1450307980 648332736 1685926313 613182817
-4983337151 1262460965 808599304 1706446271 -167604720
-3504227158 301496149 657568059 1457450176 -486706981
-2225253962 -559283413 736469793 1174614828 -340661781
-91068502 -832703900 1506537250 1038660084 41860258
3711092551 -431531718 2239736454 1113399341 398681127
8059315329 418979679 1991220765 1283873255 513590092
10944684591 1211075141 871019498 1334648402 282488448
11267702915 1260360535 -529710435 1059285922 -127884343
8893077456 535070312 -1780041122 517937672 -288539802
4721929187 32695351 -2230627086 79677973 -53028706
865935101 263864814 -1454687424 -95239307 248338065
-677980742 756197835 -64925891 -162315738 401044704
126185290 1259233883 775457409 -182189126 464146085
1671024446 1767991152 702089006 -102394327 475427733
2446638187 2205145240 74999336 85466819 493657955
1990959238 2891433730 -425968375 400422343 478884462
1086892404 3682248480 -398014642 601733425 151318866
335504850 3484404041 -394581912 183130424 -393286314
-811355095 2358724549 -736001446 -771612121 -588791775
-2443485539 1710845781 -784919821 -1568125234 -408321771
-3851181115 1594189402 -617509242 -1996973035 -324560179
-5330554031 1105128801 -927953563 -2277187799 -297801964
-7741485299 559506341 -1419992961 -2323340907 16709537
-10549770619 728790826 -1235711296 -1979433021 561928246
-12216442865 1624750745 -362161794 -1355185399 1110334534
-12098245627 3044302793 437372968 -587823973 1605769990
-10909865529 5036696875 721978981 326162810 2017654679
-9396501581 7590034371 830520745 1390933461 2158249204
-7554740391 10107087572 1048095711 2387922787 1867183008
-5139587381 11953622469 1425329210 3153775804 1249503504
-1793737334 13045184213 1958435763 3729631652 418592929
2287121346 13037359101 2028145864 3884730690 -581953120
5513736516 11539883200 1098181594 3341424094 -1411049945
6555655123 9374441671 60560707 2455953600 -1731933168
6548863100 7549097163 146718870 1738030744 -1759579519
7558217029 5845926904 860896698 1103097228 -1837302817
9149644047 3705570427 524899642 207345080 -1846632198
8623575483 1565771158 -1112853489 -835148178 -1495257213
4928077104 418221319 -2393497595 -1517007633 -946988930
157582530 198751519 -2157705135 -1637741774 -719262448
-2890519626 -235403281 -790082354 -1493358331 -954387080
-2991192815 -1441405246 633899781 -1421783990 -1319076014
-1143196092 -3074232551 1082854015 -1605692954 -1545475886
651224941 -4660849667 729913028 -2043632914 -1684947748
1874669717 -6317081759 590554332 -2655134984 -1931103198
2959877571 -8705193375 452846834 -3514202683 -2121272168
3373441941 -11399511941 -28831348 -4445772727 -1805919693
3154296986 -12977451203 -43773239 -4931875600 -1087874771
3501255024 -13387942075 422133862 -4885523702 -526529271
4426795593 -13620953754 412587369 -4627692655 -221295422
4716700964 -13879286839 -122518188 -4329144216 131947983
4166130497 -13643376360 -278981389 -3983679558 670687578
4175734826 -12443696076 401159893 -3551750589 1173106043
5777125381 -10655919454 1152487666 -3187504486 1296439023
8349413024 -9153114517 1378849551 -3074291216 1027211241
11335437007 -8081981976 1726593224 -3051062451 526444953
15707101181 -7241803516 2788610684 -2999217801 -398614236
22297850060 -7568887005 3715678846 -3371894536 -2086514155
29029432187 -10850516334 2723727961 -4794255873 -4149987295
31524573709 -17137223385 -333201553 -7139729224 -5487421241
27632283813 -24253463944 -3386617812 -9663814484 -5466514634
18878219785 -30242922253 -5180147201 -11904590573 -4290822406
7954905622 -33915523081 -5514031064 -13512516720 -2513264576
-2204834437 -34945163313 -4525342523 -14175754092 -924058105
-10303425169 -34727421813 -3702482014 -14202012050 23960540
-17402917787 -34477892703 -3324406531 -13928006728 748679855
-22465939491 -33482107378 -1367497218 -13105850266 1692725524
-21804454146 -30848338021 2118259943 -11648431056 2528653891
-15132313620 -27329103110 4229173262 -10096496778 2716539061
-7064818119 -24472995623 3594549489 -9034215474 2358345408
-1843022815 -22730472220 1660029492 -8490675927 2084519768
-451739234 -21220955143 -182349935 -8090058219 2341667742
-2276748975 -18760023508 -1531627093 -7488633708 3013253083
-6007112728 -14912804446 -2086052732 -6600387481 3530051482
-10293441411 -10583146268 -2183047852 -5621812355 3400843239
-14470525200 -7071826361 -1857228126 -4672349025 2701926656
-16806455244 -4820505627 -257448716 -3665470186 1824799699
-15252189859 -3670938736 1740736426 -2788669993 1087155342
-11000844155 -3101587435 2313283144 -2289033537 619810822
-6754329387 -2506259354 1977272070 -1963237328 213552061
-3044376023 -2254077574 1812825144 -1709739702 -464566297
218616343 -3327165392 1388014116 -1847517857 -1245142105
2160159484 -5516467643 542158027 -2379184199 -1578005114
2601275610 -7481148151 56411333 -2820333098 -1309983477
2583160304 -8426092187 45868666 -2976329722 -895256780
1909486110 -9288258932 -1148111775 -3440807694 -619345548
-3977513866 -10481899256 -4963212993 -4271794074 144584187
-15891213895 -8673584479 -5983156267 -3449906120 1065809462
-22080399765 -3138217122 658603141 -482754943 -842463202
-13360709914 -2842660171 7242396445 165404937 -7260364208
1725067023 -16030603931 7238487134 -5045042914 -14647027550
13166765779 -39450590104 4134978908 -13755443543 -17877109373
16074417037 -63264568076 -1740678482 -21444227257 -14800637782
5660005253 -77342783289 -8159266022 -24645570019 -7004160743
-11563575862 -77196334108 -8031818520 -22992159630 649761916
-23445687171 -70191158608 -3978256325 -20591193731 4644688804
-30143529496 -64476512109 -3467850159 -20165786740 6759177952
-37034086225 -56237091116 -2585257833 -18623814244 9289202321
-37079385442 -42413913179 2981141953 -14024738741 9823802076
-27488317966 -31287043591 5501512259 -10061176225 6987956699
-20010029345 -27459842747 1454034244 -9144770450 3825776912
-20561839643 -25588865171 -963871737 -8992845439 2171432877
-19011615559 -23115966163 3114457446 -7584291317 253932023
-9452811705 -26124760316 5226768424 -6866539564 -1641178859
-1177176436 -31890486002 3405561103 -7473777418 65155953
7953624190 -29339516965 6888540279 -7118994688 3833597670
24771382953 -21860514172 8252657550 -6883503905 5575281615
30014410888 -16233753776 -4840273156 -8051829802 6446612286
7563359815 -5840597501 -15123512857 -6490134597 6454476503
-15130950648 5154207983 -5249768594 -1554510148 1074185461
-11770205451 -597810824 6962186509 307437111 -6669746415
3539263541 -17272045428 6999740835 -2253721016 -8442070298
13434112546 -25555309217 3323627686 -4874777682 -5382425606
16633490134 -27221148996 -209937440 -6822896440 -3728519917
11812607789 -31915112023 -4679647896 -9322696513 -2826448359
0 -35244038284 -6622610940 -10648530316 0
0 12454230240 3574162946 -42352112 0
5669877807 7817420348 1651971183 347275013 -4150839840
5425207596 -2709434029 -1809022610 1520563939 -4507489427
105304252 -8992293699 -3027152503 2510593309 -226896250
-4191875861 -3185760622 -951815279 1984262712 4184882834
-2939311090 8156331827 2088603755 439685729 3357190131
2904982330 12320246321 3494265352 -726719036 -2421394205
9675609334 5488686536 3213940894 -902934582 -9106616561
14998314923 -9175850693 1990818927 -99118698 -13958477959
16515955010 -28780439363 -660107229 1563900849 -15545045949
12733110471 -47369013233 -2809896282 3522319471 -13057525673
7626672295 -57749126736 -1897771471 4589431916 -8856040786
6294004078 -61575231892 591382428 4608434083 -6843826452
9190637668 -66983789440 2072603770 4828020628 -7524283613
12936607362 -77365512159 1385482459 5688936800 -7768727647
13557175924 -87697936548 -817469088 6533390403 -4925047701
11021782254 -90421242454 -1188793188 7308470554 -111621427
11476928871 -84568459482 2041506093 7926065275 2752819448
18809724312 -78592209930 4868939571 6466089256 1756365774
27199791842 -79104711557 2792510091 1415466655 -236995446
27491816723 -81601296797 -2501991832 -4871793421 -403938459
19239952733 -81411852392 -5067934801 -8631267060 154791140
10782071458 -81460843484 -2906648051 -9614118475 460968266
9191181348 -82594671497 1375208860 -9894034948 2010127871
15086006038 -79812622804 4135843204 -10969301582 5144656065
22424115772 -70801679056 2638338753 -13608708029 7426748667
23281011251 -60697924464 -1843456081 -17257469970 7091363291
16398985778 -55221500485 -4486978612 -19924642142 5886935425
8211840189 -52288186360 -3261180690 -20336991255 6759634700
4444417571 -45003270278 -562884654 -18640446020 9677608944
4714739931 -30904635896 528902275 -15606698832 11461607004
4990714537 -15950159996 -347556396 -12542535495 9604808152
3002311476 -7527119184 -1527465551 -10208323240 5434252486
-743458940 -5411065123 -2114541787 -7792715915 1717694263
-5118162528 -6308576178 -2190307741 -4985526969 -808167567
-9162956924 -9731965081 -1778671921 -2819335001 -2030267950
-11988164130 -13828186558 -979938172 -1414546865 -1296630248
