323,41
332,68
379,68
388,70
332,84
262,88
267,88
337,88
267,92
276,92
281,92
328,92
388,92
274,96
332,96
337,96
379,96
388,96
393,96
402,96
407,96
286,100
384,100
386,100
393,100
407,100
285,103
309,104
314,104
337,104
332,108
337,108
342,108
379,108
384,108
314,112
332,112
337,112
384,112
258,115
323,115
346,115
374,115
328,116
304,119
309,119
337,119
393,119
416,119
323,120
328,120
342,120
346,120
374,120
342,122
332,123
295,127
337,127
379,127
416,127
421,127
342,128
346,128
286,131
300,131
351,131
388,131
412,131
416,131
407,132
281,135
295,135
314,135
374,135
379,135
425,135
393,136
337,138
309,139
323,139
342,139
346,139
351,139
374,139
388,139
569,139
593,139
304,143
393,143
560,143
388,147
416,147
421,147
281,151
309,151
323,151
318,155
337,155
416,155
309,159
402,159
617,159
616,161
286,163
435,163
290,166
295,167
440,167
323,170
402,170
388,171
593,171
332,175
397,179
421,182
346,183
337,186
393,188
402,190
523,191
332,194
416,194
421,198
286,202
327,202
332,202
337,202
402,202
579,202
226,206
318,206
593,206
397,210
402,210
407,210
588,210
244,214
323,214
407,214
416,214
225,218
228,218
300,218
532,218
574,218
226,222
244,222
421,222
421,224
276,226
314,226
588,226
397,230
542,230
258,234
588,234
314,237
240,238
439,238
588,238
151,241
397,245
309,246
249,253
253,253
309,253
607,253
635,253
616,254
551,255
239,257
398,257
412,257
574,257
607,257
234,261
253,261
235,265
244,265
249,265
272,265
323,265
612,265
625,265
640,265
239,269
253,269
262,269
314,269
630,269
174,270
244,273
267,273
640,273
277,275
314,277
402,277
649,277
560,280
318,281
603,281
621,281
640,281
169,282
174,284
416,285
421,285
625,285
644,285
309,288
165,289
630,289
658,289
230,290
118,292
169,293
402,293
621,293
644,293
407,294
626,297
165,300
314,300
416,300
616,300
630,300
318,304
327,304
411,304
165,308
193,308
221,308
421,309
416,311
220,312
225,312
644,312
188,313
239,313
598,313
160,316
174,316
211,316
435,316
649,316
155,320
183,320
188,320
193,320
221,320
482,320
593,320
682,320
207,324
183,328
188,328
211,328
216,328
439,328
649,328
225,330
649,330
142,332
174,332
202,332
132,336
183,339
137,340
141,340
211,340
458,340
118,344
127,344
132,344
174,344
179,344
481,344
179,348
193,348
323,348
462,348
481,348
174,355
416,355
333,356
616,356
188,360
616,363
467,364
472,364
202,367
472,367
598,367
607,367
281,368
193,375
607,375
179,379
495,379
281,383
369,383
374,383
491,383
188,385
314,387
379,387
286,391
374,391
495,391
593,391
607,393
290,395
495,395
291,397
500,402
183,403
188,411
95,425
593,446
574,462
532,469
458,470
584,470
467,473
458,474
467,477
207,480
453,481
169,482
211,486
197,489
211,489
449,489
174,491
174,493
197,493
458,493
444,497
202,500
216,500
174,505
202,505
207,507
193,509
206,509
435,509
463,509
468,509
430,513
458,513
225,515
225,517
425,517
230,521
421,521
235,525
300,525
416,525
95,529
239,529
490,534
211,540
118,544
220,545
481,548
458,549
123,552
174,552
197,552
267,552
449,552
197,554
128,556
444,556
132,560
472,560
155,564
183,564
160,568
188,568
207,568
165,572
193,572
202,572
212,572
221,572
449,572
225,576
444,576
174,580
160,584
179,584
207,592
444,592
198,596
216,596
221,599
420,603
425,607
435,611
211,615
221,615
412,619
416,619
214,623
290,623
421,623
425,627
481,627
221,631
230,635
407,635
490,635
514,639
416,642
486,643
495,643
225,650
411,654
230,655
491,655
491,657
402,658
239,666
239,670
495,670
407,674
253,678
239,682
249,682
244,686
239,688
239,690
402,690
244,698
397,702
