323,41,133
332,68,342
379,68,322
388,68,247
332,84,68
262,88,494
267,88,245
337,88,229
267,92,258
276,92,470
281,92,422
328,92,136
388,92,287
276,96,658
332,96,310
337,96,231
379,96,287
388,96,314
393,96,324
402,96,370
407,96,262
286,100,516
384,100,364
393,100,328
407,100,256
309,104,402
314,104,741
337,104,262
332,108,367
337,108,696
342,108,123
379,108,323
384,108,353
314,112,192
332,112,724
337,112,565
383,112,387
258,115,73
323,115,221
346,115,177
374,115,275
328,116,337
304,119,502
309,119,259
337,119,364
416,119,294
323,120,413
328,120,272
342,120,321
346,120,248
374,120,111
393,120,305
342,122,176
332,123,351
295,127,428
337,127,375
379,127,332
416,127,290
421,127,505
342,128,322
346,128,160
286,131,322
300,131,259
342,131,348
351,131,122
388,131,511
407,131,341
411,131,443
416,131,421
295,135,532
314,135,249
379,135,249
393,135,406
425,135,180
281,136,103
374,136,277
309,139,284
323,139,369
337,139,529
342,139,392
351,139,319
374,139,355
388,139,415
570,139,265
593,139,138
346,140,337
304,143,234
393,143,418
560,143,126
681,143,233
388,147,305
416,147,474
421,147,252
281,151,355
300,151,173
309,151,324
323,151,468
318,155,73
337,155,365
379,155,334
416,155,225
309,159,431
402,159,550
616,159,298
616,161,180
286,163,343
435,163,240
290,167,251
295,167,451
439,167,146
323,170,232
388,170,326
402,171,379
593,171,142
332,175,337
397,179,270
346,181,473
421,182,208
337,186,313
393,186,577
402,190,150
523,190,239
332,194,141
416,194,808
421,198,390
286,202,164
327,202,102
332,202,309
337,202,150
402,202,192
579,202,182
227,206,165
318,206,371
593,206,252
397,210,562
402,210,364
407,210,163
588,210,251
244,214,278
323,214,276
407,214,110
416,214,429
226,218,184
300,218,203
532,218,165
574,218,150
225,222,326
244,222,426
421,222,275
276,226,195
314,226,243
588,226,214
397,230,163
542,230,151
257,234,202
268,234,107
588,234,229
253,237,199
314,237,102
439,237,199
588,237,308
239,238,440
151,241,220
309,245,389
397,245,262
393,249,309
249,253,297
253,253,213
309,253,238
607,253,206
635,253,231
616,254,147
551,255,169
239,257,197
398,257,238
411,257,375
574,257,280
607,257,196
234,261,201
253,261,335
235,265,201
244,265,459
249,265,474
272,265,199
323,265,215
612,265,183
626,265,370
639,265,256
174,269,403
239,269,307
253,269,308
263,269,182
314,269,158
630,269,298
244,273,326
267,273,270
640,273,184
276,277,420
314,277,533
402,277,234
649,277,229
560,280,171
169,281,339
318,281,267
602,281,454
621,281,160
639,281,266
174,285,310
267,285,290
416,285,259
421,285,216
626,285,368
644,285,202
165,289,355
309,289,159
630,289,473
658,289,164
230,290,233
165,292,234
118,293,237
169,293,265
402,293,283
612,293,328
621,293,432
644,293,169
407,296,315
626,297,400
165,300,300
630,300,196
313,301,241
416,301,250
616,301,271
318,304,274
411,304,306
328,305,338
165,308,493
193,308,357
221,308,297
421,308,282
188,312,257
220,312,222
225,312,356
416,312,231
644,312,409
239,313,201
598,313,95
160,316,404
174,316,163
211,316,265
435,316,87
649,316,338
155,320,540
183,320,208
188,320,427
193,320,357
221,320,274
482,320,215
593,320,211
682,320,73
207,324,396
183,328,319
188,328,550
211,328,331
216,328,414
439,328,214
649,328,251
142,332,260
174,332,329
202,332,389
225,332,487
132,336,391
183,336,515
137,337,275
183,339,334
137,340,339
142,340,228
211,340,266
458,340,97
118,344,362
132,344,361
174,344,398
179,344,335
481,344,324
179,348,319
193,348,256
323,348,474
463,348,78
481,348,151
174,355,375
333,356,106
616,356,218
416,357,446
188,359,409
402,359,329
584,360,205
616,363,155
467,364,164
472,364,403
202,367,171
472,367,474
598,367,133
607,367,190
281,368,326
193,375,309
607,375,233
179,379,301
495,379,225
281,383,570
369,383,231
374,383,443
491,383,245
188,387,498
314,387,360
379,387,504
286,391,437
374,391,358
495,391,303
593,391,347
607,394,278
290,395,415
495,395,330
183,402,188
500,403,350
188,411,249
95,426,191
593,446,194
574,462,313
458,470,156
532,470,193
584,470,91
458,473,247
467,474,393
467,476,226
207,480,196
453,481,302
169,482,258
211,486,233
197,489,313
211,489,375
449,489,260
174,491,86
174,493,132
197,493,226
458,493,279
570,493,211
444,497,524
202,500,100
216,500,175
467,501,265
174,505,187
202,505,424
193,509,440
207,509,403
435,509,763
463,509,450
467,509,248
207,513,321
430,513,796
458,513,425
225,517,451
425,517,545
230,521,636
421,521,350
235,525,387
300,525,177
416,525,637
95,529,187
239,529,292
490,533,245
211,540,257
118,544,531
220,545,125
169,548,333
481,548,230
458,549,256
123,552,301
174,552,516
197,552,229
267,552,85
449,552,394
128,556,477
444,556,444
132,560,414
472,560,482
155,564,336
183,564,202
160,568,615
188,568,245
207,568,560
165,572,508
193,572,317
202,572,308
212,572,443
221,572,476
449,572,222
225,576,284
444,576,701
174,580,437
160,584,267
179,584,157
207,592,345
444,592,160
197,596,187
216,596,392
435,596,350
221,599,295
420,603,261
425,607,295
435,611,366
211,615,235
221,615,497
412,619,216
416,619,456
212,623,211
290,623,152
421,623,394
425,627,491
481,627,177
221,631,159
230,635,264
407,635,344
490,635,134
416,639,276
514,639,170
416,643,289
486,643,416
495,643,215
225,650,148
230,655,170
412,655,480
490,655,361
491,657,210
402,658,219
239,666,342
239,670,688
495,670,298
407,674,347
253,678,181
239,682,641
249,682,240
244,686,490
239,688,98
239,690,214
258,690,244
402,690,546
244,698,410
398,702,230
