323,41
332,68
379,68
388,68
332,84
262,88
267,88
337,88
267,92
276,92
281,92
328,92
388,92
276,96
332,96
337,96
379,96
388,96
393,96
402,96
407,96
286,100
384,100
393,100
407,100
309,104
314,104
337,104
332,108
337,108
342,108
379,108
384,108
314,112
332,112
337,112
383,112
258,115
323,115
346,115
374,115
328,116
304,119
309,119
337,119
416,119
323,120
328,120
342,120
346,120
374,120
393,120
342,122
332,123
295,127
337,127
379,127
416,127
421,127
342,128
346,128
286,131
300,131
342,131
351,131
388,131
407,131
411,131
416,131
295,135
314,135
379,135
393,135
425,135
281,136
374,136
309,139
323,139
337,139
342,139
351,139
374,139
388,139
570,139
593,139
346,140
304,143
393,143
560,143
681,143
388,147
416,147
421,147
281,151
300,151
309,151
323,151
318,155
337,155
379,155
416,155
309,159
402,159
616,159
616,161
286,163
435,163
290,167
295,167
439,167
323,170
388,170
402,171
593,171
332,175
397,179
346,181
421,182
337,186
393,186
402,190
523,190
332,194
416,194
421,198
286,202
327,202
332,202
337,202
402,202
579,202
227,206
318,206
593,206
397,210
402,210
407,210
588,210
244,214
323,214
407,214
416,214
226,218
300,218
532,218
574,218
225,222
244,222
421,222
276,226
314,226
588,226
397,230
542,230
257,234
268,234
588,234
253,237
314,237
439,237
588,237
239,238
151,241
309,245
397,245
393,249
249,253
253,253
309,253
607,253
635,253
616,254
551,255
239,257
398,257
411,257
574,257
607,257
234,261
253,261
235,265
244,265
249,265
272,265
323,265
612,265
626,265
639,265
174,269
239,269
253,269
263,269
314,269
630,269
244,273
267,273
640,273
276,277
314,277
402,277
649,277
560,280
169,281
318,281
602,281
621,281
639,281
174,285
267,285
416,285
421,285
626,285
644,285
165,289
309,289
630,289
658,289
230,290
165,292
118,293
169,293
402,293
612,293
621,293
644,293
407,296
626,297
165,300
630,300
313,301
416,301
616,301
318,304
411,304
328,305
165,308
193,308
221,308
421,308
188,312
220,312
225,312
416,312
644,312
239,313
598,313
160,316
174,316
211,316
435,316
649,316
155,320
183,320
188,320
193,320
221,320
482,320
593,320
682,320
207,324
183,328
188,328
211,328
216,328
439,328
649,328
142,332
174,332
202,332
225,332
132,336
183,336
137,337
183,339
137,340
142,340
211,340
458,340
118,344
132,344
174,344
179,344
481,344
179,348
193,348
323,348
463,348
481,348
174,355
333,356
616,356
416,357
188,359
402,359
584,360
616,363
467,364
472,364
202,367
472,367
598,367
607,367
281,368
193,375
607,375
179,379
495,379
281,383
369,383
374,383
491,383
188,387
314,387
379,387
286,391
374,391
495,391
593,391
607,394
290,395
495,395
183,402
500,403
188,411
95,426
593,446
574,462
458,470
532,470
584,470
458,473
467,474
467,476
207,480
453,481
169,482
211,486
197,489
211,489
449,489
174,491
174,493
197,493
458,493
570,493
444,497
202,500
216,500
467,501
174,505
202,505
193,509
207,509
435,509
463,509
467,509
207,513
430,513
458,513
225,517
425,517
230,521
421,521
235,525
300,525
416,525
95,529
239,529
490,533
211,540
118,544
220,545
169,548
481,548
458,549
123,552
174,552
197,552
267,552
449,552
128,556
444,556
132,560
472,560
155,564
183,564
160,568
188,568
207,568
165,572
193,572
202,572
212,572
221,572
449,572
225,576
444,576
174,580
160,584
179,584
207,592
444,592
197,596
216,596
435,596
221,599
420,603
425,607
435,611
211,615
221,615
412,619
416,619
212,623
290,623
421,623
425,627
481,627
221,631
230,635
407,635
490,635
416,639
514,639
416,643
486,643
495,643
225,650
230,655
412,655
490,655
491,657
402,658
239,666
239,670
495,670
407,674
253,678
239,682
249,682
244,686
239,688
239,690
258,690
402,690
244,698
398,702
