# r2_raw  r3_raw  r4_raw  r5_raw  r6_raw
0 0 1701578924 2526481392 0
2400834966 0 379681732 1735476014 0
3093453966 0 1100006970 1194934290 0
9624063174 0 5557528622 1304794876 0
22613526090 0 6624191856 -1310342968 0
33194161870 0 3793483668 -7409235394 0
38366246580 0 1695558370 -14631821478 0
41052273218 0 1267427416 -20960592632 0
44378503808 0 2176694572 -25509356414 0
47810805806 0 440390460 -29459048786 0
42216482334 0 -6363510236 -33862782298 0
25050314784 0 -9639739294 -37052649252 0
9520965070 0 -5185543900 -38425594920 0
4997068966 0 292138260 -38577058608 0
7953942320 0 2194946564 -36076502000 0
11004695272 0 545475596 -30738149194 0
8145994772 0 -3527302768 -26241350146 0
-2189459784 0 -6352348234 -23873889124 0
-14127421060 0 -5013419200 -18981191296 0
-20355800908 0 -1153118704 -9434235434 0
-19572865488 0 1621822722 -387546426 0
-15222341728 0 2658681294 3907745094 0
-8986669752 0 3783200854 4486139426 0
-6295594 0 5184035906 3357968434 0
10128927242 0 4560490882 1064969964 0
16044992250 0 1119361004 -1808450318 0
14590182244 0 -2258305734 -4418185106 0
8957463634 0 -2984313654 -6744488058 0
3687722612 0 -2298058018 -8419516094 0
-875892584 0 -2441245756 -8452324466 0
-6481557126 0 -3077552404 -7617712770 0
-12392083786 0 -2593806400 -7490987706 0
-16116892234 0 -1054883866 -7797806754 0
-16720061814 0 399320476 -7264519130 0
-15026472986 0 1239978770 -5687010700 0
-12153135110 0 1648037062 -3809766522 0
-8451367576 0 2121876912 -1965374924 0
-3618345818 0 2728726452 203929394 0
2047911678 0 2896198770 2464812016 0
7236891466 0 2201521838 3362579166 0
9945306812 0 361453532 1826158452 0
8304456688 0 -1926722636 -1220084558 0
3624727074 0 -2342024246 -3890811418 0
784271724 0 -280021036 -5410617716 0
2323862982 0 1602801034 -6234559882 0
5768633180 0 1657654878 -6655703170 0
8366290972 0 1007296998 -6588042150 0
10260436968 0 1046837508 -6402000708 0
13241045642 0 2077955090 -6629400072 0
18695436878 0 3395860864 -7168069138 0
25537254650 0 3141346080 -8208484910 0
28628887656 0 -473714604 -10841855462 0
22467087808 0 -5559993804 -15026280080 0
8680207374 0 -7607732556 -18673619396 0
-4728908124 0 -5361895170 -20002642842 0
-11391643340 0 -1239985374 -19213447446 0
-10746737446 0 1567295116 -17797642184 0
-7933648306 0 785680466 -16836961472 0
-9473105320 0 -2355691374 -15741773542 0
-16018444026 0 -3651562352 -13133743598 0
-21123108784 0 -993525286 -9080572172 0
-19068884322 0 2940226138 -5812155336 0
-11137300664 0 4644421758 -5242561152 0
-2975434308 0 3239886678 -6683138830 0
-183517966 0 -716562136 -7159157192 0
-6157436488 0 -5055474654 -4992889502 0
-17653680138 0 -5627122616 -4191014326 0
-25791703332 0 -2334085552 -9170945082 0
-29338070004 0 -2214687910 -16575659772 0
-37838756646 0 -6427402700 -20476800584 0
-50247327098 0 -4224240396 -16988580188 0
-47800783830 0 7262378796 -5771662612 0
-24842235080 0 14049811116 5576658470 0
-909240768 0 8553546046 9028669678 0
