# r2  r3  r4  r5  r6
-0.218246 -0.164153 0.594556 -0.281695 0.712449
0.871897 0.763420 0.477502 0.071023 0.426474
1.589685 1.128514 0.232283 0.210347 -0.125828
1.721984 0.473524 -0.122171 -0.066109 -0.665417
1.080728 -0.806165 -0.509564 -0.595131 -0.852349
-0.014110 -1.868169 -0.506489 -0.982703 -0.676799
-0.543767 -2.368748 0.019561 -1.066350 -0.404819
0.026440 -2.557943 0.497106 -1.001340 -0.215201
1.105149 -2.637265 0.524975 -0.944815 -0.104977
1.942555 -2.609761 0.310103 -0.936185 -0.072722
2.437128 -2.600562 0.219830 -0.998440 -0.147629
3.030569 -2.767595 0.409248 -1.134420 -0.293598
4.111983 -3.060836 0.658197 -1.316329 -0.492560
5.336322 -3.580083 0.482465 -1.605509 -0.797865
5.530559 -4.711361 -0.365522 -2.097395 -1.099822
3.791470 -6.336376 -1.325653 -2.650519 -1.088604
0.810243 -7.611728 -1.533083 -2.945362 -0.657892
-1.711220 -7.929532 -0.925127 -2.858329 -0.077394
-2.691683 -7.461351 -0.062112 -2.540136 0.320198
-2.193085 -6.819742 0.493955 -2.231476 0.444844
-1.258208 -6.428291 0.344546 -2.080187 0.489442
-1.204609 -6.058174 -0.312908 -2.004185 0.675740
-2.296494 -5.158815 -0.689890 -1.792412 0.932930
-3.392674 -3.725141 -0.320222 -1.417534 0.926421
-3.320304 -2.617007 0.379509 -1.193151 0.515317
-2.109922 -2.565709 0.777760 -1.377373 0.012307
-0.658863 -3.255622 0.607953 -1.799431 -0.104073
-0.217784 -3.429023 -0.278061 -1.878305 0.202549
-2.025914 -2.324286 -1.513162 -1.213866 0.237605
-5.509623 -1.638161 -1.730289 -0.564168 -0.568433
-7.890505 -3.424888 -0.565383 -1.019095 -1.430022
-8.207996 -6.403495 -0.006652 -2.152816 -1.170780
-8.787601 -7.967857 -0.624421 -2.739285 0.307038
-9.877924 -6.425381 -0.142629 -2.018802 2.177897
-8.319674 -1.822951 1.739059 -0.204824 3.063242
-3.831563 2.763189 2.437890 1.519254 2.176128
-0.054811 4.290861 1.159011 2.202510 0.319615
0.830075 3.037498 -0.093824 1.800881 -1.240609
0.680857 0.632327 0.153159 0.672867 -2.129848
1.926458 -2.092647 1.082410 -0.580638 -2.573122
4.243340 -5.337164 0.951533 -1.667167 -2.662548
4.230609 -9.038017 -1.175437 -2.722306 -1.876641
0.000000 -10.872117 -2.692972 -3.250995 -0.000000
0.000000 0.173361 -0.136854 -0.653221 0.000000
-0.283300 0.034930 -0.148835 -0.503441 -0.043648
-0.505105 0.187924 -0.044354 -0.285312 -0.075781
-0.380396 0.559432 0.157511 -0.173882 -0.511419
-0.011863 -0.144427 0.183555 0.114968 -1.363058
0.401047 -2.220998 0.265493 0.709939 -2.162458
1.271463 -5.101419 0.630964 1.276814 -2.605558
2.872577 -8.058249 0.949446 1.569940 -2.682871
4.844177 -10.597518 0.991073 1.578210 -2.700135
6.353888 -13.480155 0.390993 1.275334 -2.792755
5.883287 -17.000758 -0.905169 0.785704 -2.416596
3.330887 -19.368501 -1.441351 0.523361 -1.378490
1.440034 -19.794080 -0.241082 0.747726 -0.365991
2.743550 -19.311084 1.480722 1.109269 0.181523
6.307917 -18.627018 1.797466 0.815888 0.319256
8.590076 -18.333675 0.336128 -0.453289 0.240636
7.723758 -18.868510 -0.993913 -1.854184 0.513644
5.903512 -18.924888 -0.613369 -2.523310 1.734960
5.454231 -16.131972 0.000425 -2.787925 3.457864
4.957939 -10.325338 -0.653925 -3.054593 4.224881
2.766691 -4.824747 -1.425468 -3.175817 3.300199
0.010064 -2.318211 -1.197597 -3.192382 1.640630
-1.563596 -1.965124 -0.359200 -3.158097 0.329353
-1.461355 -2.407604 0.420222 -3.046300 -0.595269
-0.272237 -3.741692 0.689572 -2.995394 -1.259757
0.768812 -5.627714 0.270819 -3.028920 -1.507083
0.676999 -7.278653 -0.316032 -3.061147 -1.469249
-0.050495 -8.970075 -0.303968 -3.188385 -1.283683
-0.312781 -10.533136 0.002016 -3.401633 -0.685026
-0.484427 -10.717693 -0.285686 -3.424352 0.173050
-1.615376 -9.649174 -0.794938 -3.110363 0.685797
-3.123124 -8.631608 -0.592731 -2.620605 0.767624
-3.641643 -8.054937 0.068545 -2.238674 0.845401
-3.067140 -7.259853 0.432580 -1.993068 1.139696
-2.156770 -5.770800 0.462612 -1.631730 1.427982
-1.211942 -3.988962 0.513736 -1.126204 1.459620
-0.047503 -2.483531 0.652846 -0.750542 1.291985
1.223687 -1.170600 0.559443 -0.656986 1.034586
1.869798 0.010529 0.045776 -0.769955 0.550868
1.403454 0.403474 -0.470153 -0.913432 -0.228830
0.278188 -0.607963 -0.613202 -0.986465 -0.941983
-0.863226 -2.451549 -0.520602 -0.980400 -1.092229
-1.642728 -3.765817 -0.227465 -0.828954 -0.680066
-1.591248 -3.988479 0.300714 -0.503921 -0.195370
-0.544157 -3.704304 0.702151 -0.157746 0.011639
0.875643 -3.503301 0.656743 0.018319 -0.024888
1.849012 -3.516205 0.301746 -0.041872 -0.178350
2.171699 -3.772325 0.069468 -0.220936 -0.380978
2.412006 -4.237697 0.218444 -0.342700 -0.595605
3.067741 -4.843258 0.401566 -0.429679 -0.868437
3.650309 -5.862495 0.099347 -0.596499 -1.229031
3.150359 -7.633678 -0.621738 -0.718937 -1.431469
1.333664 -9.624963 -1.120973 -0.557965 -1.119086
-0.819084 -10.678892 -0.951690 -0.114438 -0.340611
-2.140364 -10.331146 -0.357437 0.388762 0.440121
-2.253838 -9.112019 0.224300 0.773369 0.828820
-1.421723 -7.906648 0.575452 1.011257 0.785855
-0.258006 -7.275831 0.535179 1.117540 0.597013
0.420179 -6.969797 0.112380 1.022898 0.576786
0.156664 -6.284063 -0.354650 0.625667 0.679268
-0.785846 -5.157594 -0.550189 -0.082515 0.516102
-1.747874 -4.640491 -0.379431 -0.916934 -0.020440
-2.029196 -5.405355 0.168295 -1.439435 -0.469419
-1.084144 -6.764681 0.742213 -1.468803 -0.248673
0.060254 -6.949973 0.138671 -1.309391 0.628681
-1.637513 -4.633216 -1.945666 -0.928672 1.091897
-6.860149 -2.303185 -2.879332 -0.177259 0.021671
-10.965920 -3.917862 -0.962078 0.332801 -1.515029
-10.673931 -8.091963 0.982559 0.253429 -1.406914
-8.234948 -10.223423 1.332822 0.263938 0.696271
-5.335342 -7.487206 1.705544 0.703296 3.263673
-1.581915 -0.915261 1.924886 0.831065 4.233231
1.276355 5.018797 0.731246 0.389805 2.906793
0.926362 7.050009 -1.051184 0.049770 0.437258
-2.062059 5.481057 -1.700977 0.065705 -1.734557
-4.588912 1.843828 -0.658870 0.173284 -2.944530
-4.362728 -2.087739 0.825463 0.487683 -3.213636
-1.995343 -5.706023 1.349935 1.228682 -2.981825
-0.024240 -9.489259 0.478682 2.052804 -2.021044
0.000000 -11.425391 -0.269398 2.394429 -0.000000
0.000000 -1.184008 -0.019102 -0.548377 -0.000000
-0.038993 -1.019183 -0.018217 -0.430154 0.173158
-0.127691 -0.541793 -0.083715 -0.379820 0.191346
-0.441921 -0.188514 -0.244700 -0.545012 -0.056444
-1.105382 -0.387982 -0.414212 -0.397888 -0.434003
-1.875314 -0.949210 -0.290421 0.394428 -0.856120
-1.895669 -2.014599 0.315042 1.515872 -1.346353
-0.666560 -3.638863 0.858704 2.478132 -1.808513
1.131212 -5.558337 0.881862 3.048739 -2.308975
2.487363 -8.496585 0.414889 3.245133 -2.773216
2.566207 -12.452730 -0.354499 3.223806 -2.481739
1.416907 -14.994149 -0.679145 3.243642 -1.244128
0.727925 -14.781739 0.152576 3.601425 -0.105534
2.332241 -13.398439 1.403564 4.113455 -0.020237
5.444110 -13.209073 1.453763 3.998031 -0.864908
7.233077 -15.316492 0.276251 3.093742 -1.603377
7.130427 -18.244839 -0.100711 2.328992 -1.271590
8.010607 -19.528550 1.116188 1.902071 -0.003539
10.911861 -18.485656 1.428864 0.560687 1.357306
11.864169 -15.680357 -0.727501 -1.990093 2.111471
8.096609 -12.549570 -2.764220 -4.125781 1.886430
2.561648 -10.831663 -2.490639 -4.852917 1.064823
-1.046346 -10.403360 -1.156543 -4.797095 0.310256
-2.341383 -10.467036 -0.212363 -4.550805 -0.308146
-2.203326 -11.248459 0.320665 -4.093890 -0.844601
-1.548388 -12.616455 0.217500 -3.606326 -1.107264
-1.709753 -13.906797 -0.367412 -3.271801 -1.118230
-2.385185 -15.266516 -0.106664 -2.805050 -0.965676
-1.650395 -16.534340 0.797151 -2.245351 -0.410020
-0.087101 -16.591838 0.528218 -2.104115 0.466783
-0.135536 -15.260256 -0.546325 -2.247004 1.135110
-1.539333 -13.542962 -0.654833 -2.135540 1.336701
-2.079206 -12.287970 0.146675 -1.884009 1.365438
-1.174439 -11.167884 0.639808 -1.827279 1.638978
0.016678 -9.192185 0.499320 -1.763939 2.047169
0.775800 -6.486198 0.316838 -1.427733 2.100535
1.510973 -4.144792 0.457059 -0.991322 1.669694
2.452375 -2.667595 0.398413 -0.863940 1.003127
2.601569 -2.039802 -0.330403 -1.225156 0.294345
1.126417 -2.246346 -1.070774 -1.649659 -0.335657
-1.064732 -3.245126 -1.006403 -1.596096 -0.697396
-2.468437 -4.528838 -0.382725 -1.095578 -0.561500
-2.603671 -5.049462 0.217116 -0.485580 -0.021452
-1.749535 -4.417824 0.618277 0.030346 0.420883
-0.357286 -3.451611 0.737797 0.350591 0.417318
0.919281 -2.995470 0.493938 0.419086 0.093141
1.474528 -3.207182 0.058767 0.300783 -0.249211
1.322042 -3.758781 -0.153692 0.226771 -0.431766
1.157210 -4.221224 0.026220 0.379962 -0.519471
1.417165 -4.642666 0.191518 0.667090 -0.709153
1.646973 -5.558108 -0.009984 0.961263 -0.974596
1.263429 -7.081762 -0.364250 1.330874 -0.974874
0.350447 -8.406323 -0.505964 1.756832 -0.456692
-0.539221 -8.551663 -0.359617 2.075798 0.378915
-0.983638 -7.378655 -0.086060 2.279393 1.053917
-0.889867 -5.580029 0.175605 2.449112 1.245510
-0.320662 -4.004796 0.389940 2.613470 0.956380
0.549868 -3.164486 0.456297 2.732187 0.398313
1.238922 -3.137295 0.187656 2.520870 -0.182777
1.046314 -3.698583 -0.416401 1.657944 -0.661504
-0.463355 -4.776841 -1.078934 0.245105 -1.006701
-2.753397 -6.404050 -1.113351 -0.882950 -0.977162
-4.043412 -7.584361 0.022081 -0.592799 -0.436044
-2.271341 -7.586141 1.744864 0.904156 0.238296
1.529466 -6.987694 1.596748 1.542032 0.814173
1.624857 -5.297130 -1.863479 0.391882 1.166853
-5.311394 -2.962346 -4.501944 -0.595363 0.522037
-12.506447 -3.361862 -2.084573 -0.002285 -0.790394
-12.515519 -6.597236 1.826526 1.054613 -0.888363
-6.992847 -8.160301 3.355222 1.602698 0.841892
-0.426587 -5.160984 3.134609 1.360473 2.715690
4.530424 0.082537 1.693015 -0.012629 2.888058
5.541615 3.381487 -0.773527 -1.963608 1.506343
1.712392 3.568418 -2.949041 -3.284110 -0.050406
-4.855094 2.139134 -3.297581 -3.170586 -0.935468
-9.582557 0.428089 -1.189219 -1.490707 -1.135695
-9.332423 -0.718388 1.272679 0.813920 -1.003084
-5.774783 -1.519105 2.038948 2.694425 -0.979884
-2.233001 -3.036361 1.420727 3.915822 -0.809687
0.000000 -4.070782 0.943434 4.370759 -0.000000
0.000000 -1.462549 0.343270 0.285328 -0.000000
0.572924 -1.253920 0.191955 0.201960 0.082608
0.632238 -1.071428 -0.127589 -0.149738 -0.004374
0.151946 -1.379577 -0.325445 -0.622717 -0.033974
-0.588876 -1.573098 -0.433573 -0.725539 0.228367
-1.546846 -0.879530 -0.494393 -0.264261 0.476416
-2.214663 0.132820 -0.097775 0.636330 0.274614
-1.834807 0.540168 0.431795 1.641049 -0.382693
-0.887670 -0.052360 0.443239 2.338906 -1.349606
-0.253262 -2.451401 0.200236 2.639955 -2.242011
0.043060 -6.289707 0.123876 2.790515 -2.154671
0.339351 -8.719162 0.185482 2.918310 -0.885785
0.935764 -7.958830 0.444532 3.088469 0.342062
2.098133 -5.736912 0.679221 3.337896 0.225576
3.253228 -5.456556 0.384411 3.478154 -1.117548
3.583911 -8.343492 -0.007654 3.532965 -2.201518
3.872354 -11.693092 0.468956 3.749592 -2.124190
5.991033 -13.259941 1.690263 3.826429 -1.714652
9.824364 -14.680717 1.846163 2.892937 -1.718542
11.612074 -17.040681 -0.327187 0.695924 -1.485222
8.388697 -18.504903 -2.656707 -1.394857 -0.678960
2.813582 -18.318765 -2.592545 -2.048200 0.035907
-0.968294 -17.612244 -1.217714 -1.784455 0.257250
-2.382957 -17.125522 -0.285503 -1.468179 0.136837
-2.425191 -17.033798 0.215828 -1.130373 -0.142540
-1.978696 -17.560496 0.114158 -0.899499 -0.367086
-2.353174 -18.307361 -0.477060 -0.770970 -0.262741
-3.087314 -18.448345 -0.007368 -0.128786 0.060918
-1.761554 -18.074813 1.289049 0.806150 0.276893
0.946036 -17.873726 1.114017 0.879284 0.452594
1.776569 -17.481614 -0.296068 0.146966 0.860904
0.496774 -16.128008 -0.737319 -0.256415 1.270306
-0.136580 -14.514896 0.217011 -0.082360 1.372173
1.328950 -13.400357 1.109067 -0.084152 1.488226
3.453140 -11.895841 0.862629 -0.637532 1.872903
4.342968 -9.381526 0.061494 -1.291520 2.108040
4.058116 -6.673837 -0.245869 -1.526170 1.764681
3.546761 -4.930671 -0.301374 -1.485296 0.899075
2.583329 -4.822535 -0.729790 -1.618716 0.002357
0.648113 -5.768088 -1.149281 -1.859408 -0.401241
-1.497433 -6.668487 -0.893024 -1.819153 -0.241640
-2.558189 -6.966226 -0.157113 -1.425427 0.293484
-2.231912 -6.212571 0.431324 -0.837268 0.923568
-1.123117 -4.462214 0.641500 -0.226300 1.192006
0.100597 -2.810073 0.557135 0.207244 0.870574
0.926340 -2.219735 0.245499 0.328651 0.269145
1.048380 -2.627823 -0.110492 0.248312 -0.118513
0.674788 -3.181803 -0.218841 0.271656 -0.082792
0.363361 -3.117522 -0.081402 0.597787 0.136361
0.338859 -2.600546 0.038463 1.246754 0.159755
0.456242 -2.389302 0.075975 2.103851 -0.060362
0.625915 -2.808177 0.092153 2.819469 -0.234680
0.778092 -3.489547 0.049855 2.973928 -0.055733
0.797986 -3.619760 -0.029460 2.649657 0.525924
0.726297 -2.512911 -0.027082 2.430074 1.163273
0.756641 -0.499790 0.067465 2.530436 1.348965
0.985995 1.375214 0.154109 2.667420 0.883406
1.190610 2.263086 0.010086 2.528598 -0.118708
0.708533 1.469097 -0.550333 1.844145 -1.313105
-1.084963 -1.059223 -1.232395 0.815580 -2.133878
-3.797731 -4.521395 -1.354517 0.136308 -2.056851
-5.591327 -7.248391 -0.328748 0.440816 -0.798572
-4.680927 -6.672229 1.271532 1.785963 0.901903
-0.932211 -3.166577 2.408163 3.271721 1.251883
3.644539 -1.657798 1.825679 3.196057 -0.001872
3.999951 -3.746520 -1.921667 0.749928 -0.788551
-3.849476 -5.147260 -5.409552 -1.687115 -0.305061
-13.093714 -4.556117 -2.980675 -1.223110 0.104953
-13.604767 -4.576513 2.311997 0.887899 0.197114
-6.174870 -4.619336 4.532931 1.852546 0.710217
1.930941 -2.836086 3.318886 0.950185 1.105332
5.998629 -0.923273 0.767209 -0.844588 0.538196
5.141111 -1.191395 -1.541995 -2.230109 -0.373529
0.666822 -3.033732 -2.833764 -2.712092 -0.477421
-5.076908 -4.025240 -2.680981 -2.337656 0.510380
-8.602244 -2.370406 -0.653517 -0.909908 1.719933
-7.652212 0.999028 1.420500 0.916439 1.992904
-4.261311 3.451359 1.740476 2.032309 1.191018
-1.496600 3.611596 1.001542 2.386581 0.281130
0.000000 3.127506 0.605844 2.457658 -0.000000
0.000000 -0.224429 0.430716 0.838341 -0.000000
0.653455 -0.335645 0.148553 0.626952 -0.322661
0.531909 -1.069321 -0.208796 0.127398 -0.595615
