# v_p0  v_p1  v_p2
30.128666 0.000000 1.601333
37.980216 0.000000 0.214060
46.622748 0.000000 -1.043089
28.299992 0.000000 1.576698
37.544124 0.000000 -0.255413
53.016098 0.000000 -1.993296
54.535728 0.000000 -3.293903
65.561824 0.000000 -4.920549
85.140996 0.000000 -6.820164
70.288554 0.000000 -5.249617
113.489786 0.000000 -8.910022
114.118874 0.000000 -8.775208
112.085364 0.000000 -8.228987
109.157708 0.000000 -9.325892
114.198572 0.000000 -8.951682
111.602624 0.000000 -7.140440
121.731214 0.000000 -4.890684
124.094216 0.000000 -5.711009
121.131948 0.000000 -6.290885
112.139706 0.000000 -1.198086
105.814484 0.000000 0.358268
103.778692 0.000000 0.922944
99.558726 0.000000 0.816078
97.064798 0.000000 0.822536
96.529598 0.000000 0.447550
103.878488 0.000000 -0.691042
111.916472 0.000000 -1.153930
112.189090 0.000000 -0.978954
113.255728 0.000000 -2.687832
112.587390 0.000000 -1.894783
115.338732 0.000000 -1.494304
110.945610 0.000000 -1.649743
106.510258 0.000000 -1.991659
102.198006 0.000000 -1.820752
97.619864 0.000000 -1.236647
94.675384 0.000000 -0.816567
92.547338 0.000000 -0.488455
89.544504 0.000000 -0.167405
89.930236 0.000000 0.595478
91.296134 0.000000 1.109601
93.448342 0.000000 0.497710
98.197286 0.000000 -0.404934
102.344038 0.000000 -1.142479
97.442980 0.000000 -1.142647
96.877262 0.000000 -1.421407
99.611010 0.000000 -1.621103
100.819200 0.000000 -1.633575
104.169108 0.000000 -1.319166
105.014162 0.000000 -1.539191
108.628466 0.000000 -1.907064
112.354348 0.000000 -1.800032
119.099528 0.000000 -2.074607
134.277926 0.000000 -3.724404
136.795118 0.000000 -4.551503
134.408994 0.000000 -4.748226
131.553128 0.000000 -4.547520
123.636200 0.000000 -3.839851
123.825768 0.000000 -3.889146
124.852320 0.000000 -3.783450
124.855710 0.000000 -3.379515
116.944344 0.000000 -2.102687
107.182318 0.000000 -0.974279
104.674046 0.000000 -0.987976
104.059266 0.000000 -1.830473
103.441482 0.000000 -1.542978
110.676802 0.000000 -3.150889
106.854968 0.000000 2.400213
100.419822 0.000000 -3.449006
81.396156 0.000000 -4.136955
91.466218 0.000000 -3.951715
86.579444 0.000000 -6.053668
47.753492 0.000000 -1.361956
43.308004 0.000000 3.121092
34.149332 0.000000 2.245832
72.128936 0.000000 0.244543
34.129928 0.000000 1.150939
67.795818 0.000000 -2.983559
39.594608 0.000000 -0.690449
75.860836 0.000000 -6.935667
98.550832 0.000000 -7.470751
33.810921 2.429296 0.577581
38.819908 0.196988 -0.093487
44.543747 -1.684496 -0.528811
31.236273 2.626912 0.899752
37.234843 -0.479792 -0.227093
47.922304 -2.827780 -0.466800
47.374071 -5.111896 -1.378682
55.347481 -7.836528 -2.305213
71.497586 -11.048112 -3.446185
59.572941 -8.394812 -2.537686
97.617792 -15.194656 -5.468794
98.850979 -15.094420 -5.563748
97.507409 -14.066976 -5.090883
92.185646 -15.772596 -5.548318
98.055011 -15.155320 -5.383826
99.260677 -12.325636 -4.570660
117.470471 -9.969024 -5.182724
117.317454 -10.990276 -5.170352
112.913314 -11.822068 -5.325088
113.223397 -3.178668 -2.307070
106.962194 0.399504 -0.038057
107.620753 0.766712 -0.512832
102.796656 0.736792 -0.374545
99.918874 0.880688 -0.180610
98.562353 0.296344 -0.335613
105.234312 -2.129520 -1.695839
111.941373 -2.747920 -1.733286
112.083717 -2.299360 -1.411994
112.168944 -5.911548 -3.459241
111.987288 -4.247540 -2.523734
115.564909 -3.618264 -2.334929
109.927936 -3.546176 -1.962728
104.769404 -4.065152 -2.106582
100.568462 -3.724920 -1.915664
96.871199 -2.669480 -1.479185
93.839434 -1.662976 -0.819311
92.421329 -1.141612 -0.676680
89.904875 -0.528568 -0.424966
91.620088 0.785404 0.057195
93.784571 1.704356 0.429997
94.778638 0.678816 0.086596
98.482094 -1.064468 -0.742461
101.356729 -2.332444 -1.214260
95.968442 -2.147580 -0.974138
94.513398 -2.481828 -0.953817
96.673045 -2.741476 -0.969250
97.782864 -2.734088 -0.939715
102.060229 -2.327208 -0.925835
102.786038 -2.802836 -1.193990
105.665120 -3.400160 -1.380027
109.922515 -3.346336 -1.482524
116.680615 -3.997752 -1.896290
128.864451 -6.783636 -2.880087
129.229564 -7.941708 -3.054074
125.797732 -8.020788 -2.833212
123.092538 -7.595308 -2.606030
116.134687 -6.286620 -2.027114
116.245574 -6.373732 -2.061728
117.576865 -6.235408 -2.053575
118.643206 -5.676136 -1.973394
113.585470 -3.769040 -1.494451
105.811882 -1.861700 -0.800553
104.344902 -2.235388 -1.314331
102.533270 -3.724108 -1.969576
102.134419 -3.045952 -1.621314
107.987636 -6.358160 -3.339580
108.674113 4.903196 2.645699
95.007483 -6.128184 -2.473401
72.000885 -6.280344 -1.544855
86.272090 -7.380740 -3.323371
73.730141 -9.547456 -2.699231
43.911734 -1.794448 -0.138846
47.659074 5.757880 2.505932
37.429073 4.126564 1.740306
68.467302 1.986696 2.162963
35.394266 2.250388 1.090346
62.935778 -5.247852 -2.048018
37.888749 -0.960284 -0.174674
61.135090 -10.922812 -3.088702
83.870405 -12.193248 -3.903157
39.928916 1.830020 -1.079733
39.603591 -0.413428 -0.462126
41.110915 -1.998024 0.135830
36.980737 3.203732 -0.280544
36.863784 -1.061124 -0.391694
41.937805 -1.899816 1.035068
35.765291 -4.901268 1.365914
38.201839 -8.339660 1.464895
47.526279 -12.483500 1.634888
40.999951 -9.128712 1.545225
65.470416 -19.821612 0.625240
67.157979 -20.215232 0.281922
67.904472 -18.496232 0.454078
57.863357 -19.784764 1.339247
64.903976 -19.169644 1.271074
73.243100 -16.528624 0.255151
98.784417 -19.138420 -3.447275
95.398653 -18.824184 -2.243562
88.734460 -19.241776 -1.715177
111.884654 -10.048004 -4.485569
111.381333 -1.423736 -2.094819
113.986061 -3.373944 -3.697897
108.341892 -2.639984 -3.073745
106.302548 -2.172024 -3.102910
103.143376 -2.523668 -2.700770
104.498926 -7.251164 -3.333097
110.091466 -7.506988 -3.093454
110.776546 -6.237028 -2.643953
103.673246 -13.612448 -3.968483
106.374999 -10.077308 -3.159919
111.737625 -9.543296 -3.475111
105.184046 -7.903496 -2.369570
98.481646 -8.270284 -2.053469
95.310969 -7.683596 -2.096566
93.766458 -6.110472 -2.012045
91.200918 -3.190852 -0.731980
90.994215 -2.718064 -0.887933
88.981980 -1.551556 -0.476013
94.079312 -0.036364 -0.811903
98.792601 1.067324 -1.080624
97.257285 -0.036924 -0.814724
97.179413 -2.950728 -1.038764
97.297245 -4.633572 -0.976654
91.864039 -3.642308 -0.470092
89.459440 -3.510232 -0.095769
91.060793 -3.592600 0.049181
92.170625 -3.490160 0.101623
97.808448 -3.586372 -0.383908
97.406488 -4.468944 -0.463514
98.621647 -5.001240 -0.192209
103.322557 -5.443596 -0.558200
108.805591 -6.912840 -0.880134
114.996965 -10.451952 -0.684474
112.525750 -11.035128 -0.043696
108.763425 -10.326948 0.432819
106.411467 -9.278884 0.827228
102.261738 -7.230740 0.933869
101.837599 -7.194112 1.116105
103.365900 -7.116072 1.087419
105.857714 -6.950244 0.712040
105.645664 -5.311540 -0.074445
102.891282 -3.162932 -0.628632
102.677315 -5.648976 -2.249409
95.293488 -7.227832 -1.227435
94.849217 -5.528976 -0.365729
96.982416 -12.744336 -2.720149
119.561766 9.109372 1.008782
81.144519 -8.580524 0.240078
59.756491 -6.283588 0.937997
71.999537 -12.364008 -1.481279
53.429289 -10.042328 1.666521
38.933054 -0.245236 1.504324
61.398861 8.327296 -0.291067
47.038333 5.865956 -0.177987
76.379330 5.829476 0.493656
40.661153 3.663224 0.126714
51.143428 -7.090872 0.294696
35.194121 -0.472332 0.649168
35.437788 -10.570028 3.130514
57.592896 -14.192784 1.542936
40.836774 -0.750960 -1.232474
38.365933 -1.265852 -0.299345
38.750739 -1.461784 0.398367
41.486861 1.764372 -1.125927
35.511579 -1.988704 -0.464283
