# v_p0  v_p1  v_p2
5682804 -194146 32941
5786587 -191435 25025
6105793 -264756 -2521
5956121 -302793 23601
5986927 -280551 59001
6200414 -340546 56575
6365583 -442268 75142
6478946 -603028 127852
6371035 -571117 145711
6312797 -497876 124418
6171819 -345983 190639
6154434 -256561 137556
6062578 -193656 190087
6178870 -199945 180401
6408105 -264011 117678
6488775 -299463 41916
6582458 -322511 -83701
6191798 -681660 -141222
5350513 -464639 97719
5350443 -180064 222446
4862062 -979010 66457
9210720 393744 -300180
4447784 -343240 189368
3675184 -328682 8456
3423376 -810259 105336
2966879 -400152 112633
2670433 183005 83765
4998111 259849 -256953
3629175 242357 -108872
6112165 61335 -335585
3091840 157471 -86463
2683709 -292967 139852
2221507 102240 92840
1615770 -106397 333437
2720212 -567632 229053
2380046 -131628 4653
2355816 -89526 10744
2431711 -23469 46350
2832491 -70791 -111648
2118392 -167128 -5270
2907040 -100343 -58606
2224615 109329 60177
1941045 -19977 98917
2025957 -56280 187003
2045606 108710 154568
2027650 -606418 171921
1897564 -606347 223075
2274738 -605347 161095
1778506 -327176 229821
2276430 -189719 270137
2798683 -512233 163145
2724879 -1008725 278777
3098840 -856936 215248
2747379 -668997 275763
4171403 -1387447 84031
6394507 -1138460 -243607
5540823 -1255743 -86530
5520948 -1060601 -82057
5393816 -1205715 -121671
5283434 -1055803 -85575
4627704 -1119195 -4736
5060448 -1262085 -61999
5506018 -1217721 -125008
3421605 -1170072 184305
4454816 -1088923 55015
4794657 -1266072 -8881
5082270 -1065313 -74372
4593466 -831813 34458
4406553 -910148 13421
4595844 -893834 -40019
5426800 -506442 -101293
5457704 -539692 -129100
5599054 -204470 -58573
5978193 -304983 -96681
6316916 -448605 -147660
6164307 -389694 -115697
5769610 -472790 -92315
5581520 -482170 -62180
5452062 -250563 -5268
5413601 -165315 11751
5503634 -122398 41414
5662567 -160206 3328
5815662 -253460 10176
5636509 -224151 46599
5763483 -144693 63262
5753677 -140817 141968
5779523 -171196 190910
5823156 -235862 225809
5913377 -239163 167546
5994656 -267955 98719
5933700 85393 236273
6088381 1420 112757
6026436 207343 207489
6212526 156494 158006
6513320 -131396 -7800
6181192 -197591 67561
6142565 -507039 -73039
4793082 -726883 147903
4770757 -131406 214554
5412113 353546 232236
3453296 -552328 333641
9859043 -551396 -602111
4436981 16901 126218
3324555 -326719 18430
2515714 -457485 219165
2821093 -265808 35747
3143796 248805 -23446
5008297 -306653 -270508
3607166 83228 -32313
5686420 -624522 -275609
3117690 -19704 -68587
2537889 1283 140062
2370048 321033 118659
2221795 400765 142998
2501836 -154747 170091
2114259 -36100 80555
2249557 -49258 26443
2471609 71089 40159
2580567 -273615 -77821
1921982 -159291 8870
2695894 -200844 -33154
2586190 126536 -41009
2204079 86545 3318
2330265 232005 96677
2683263 237217 -38595
1701072 -330048 113283
1556812 -190911 198899
1859580 -311364 143226
1884998 11945 119776
2755074 145654 61805
2464247 -209116 152075
2070817 -467365 244374
2596771 -499206 142663
2567949 -220651 165871
2561284 -1003619 257187
4490544 -1360246 28887
3678283 -1124883 193225
3937584 -967537 154848
3404060 -1081871 230114
3581009 -908257 213886
3193513 -944896 162846
3255341 -1123701 192813
3691114 -1221432 122846
2323104 -691295 254849
3204331 -841667 173839
3179559 -1087610 173904
3639411 -1063312 83290
3592520 -639737 144600
3127010 -671010 216481
3269931 -769858 165349
4634560 -637374 -9586
4673394 -760602 -73045
5468779 -396014 -128700
5661523 -540275 -140547
5671241 -717992 -121461
5596256 -593980 -84043
5242298 -688305 -114034
5116124 -658112 -105269
5342301 -330693 -80302
5404391 -204795 -61236
5462003 -52485 21995
5640026 -214210 -65281
5694883 -279588 -50461
5642838 -202082 -44709
5930625 -125118 -62415
5790812 147776 127350
5861621 209968 164197
6008868 151260 130560
6151826 -37950 10543
5759993 -74441 124959
6269247 546609 227224
6316468 159670 50868
6654137 536715 100341
6810073 335910 11642
6628978 -309740 -147325
5833907 27438 175803
5172225 -475855 125580
3516446 -32406 519745
4914743 271600 183702
6952017 371270 -256513
3451747 75321 235272
8301083 -1637051 -408782
5023861 29481 -107647
2875709 -211965 93180
2434639 -81153 141567
2509636 -177671 73066
3582040 86479 -135809
3999365 -641956 -47919
3562870 98600 23898
4266831 -881375 2017
2825075 -51682 37950
2898123 182675 28329
3021126 478999 14315
3270173 400597 -125998
2783403 46883 30994
2172587 130332 76201
2152126 30438 63337
2591994 134515 33013
1932948 -292201 74239
1714567 -120170 37505
2352510 -209349 24380
2689668 11285 -55153
2496725 -16720 -104187
2947779 284568 -53411
3171382 -20074 -196744
1500188 -121421 102480
1664500 167436 148700
1687514 -19535 145817
2141794 182136 52864
3199994 112055 -70005
2437108 91255 138300
2063338 -91960 131150
2286384 -255848 114409
2708050 -4509 60338
1916987 -526808 207825
2836449 -1095559 206683
2737374 -683521 209138
3110607 -608773 171604
2480108 -512311 283338
2905598 -424662 218212
2399183 -585227 175473
2210250 -632298 262741
2379130 -824260 243577
2099980 -290354 143906
2595194 -504651 147619
2200632 -680028 214040
2455470 -767759 195239
3182724 -368388 105679
2749719 -220607 188126
2568616 -343914 225521
3767189 -524321 109445
3584084 -772175 61409
4812323 -619726 -66518
4921630 -812569 -113577
4676149 -894968 -42530
